Title,Subtitle,Language,Category,Public status,Kindle status,Kindle ASIN,Paperback status,Paperback ASIN,Hardcover status,Hardcover ASIN
Terms and Conditions of Being Alive,I Have Read Nothing and Am Going Fucking Insane,English,A novella,In development,,,,,,
The Violence Was Random,A Broken Andalusian Mystery,English,A Jonas Ravn novel,In development,,,,,,
The Quiet Floor,Metrics of Control,English,A novella,Available,Live,B0H5D1SHL7,Live,B0H5CJGS4B,Live,B0H5D539PD
Autonomy Line,We Were Never Just Paying Interest. We Were Paying Ourselves Away.,English,A novella,Available,Live,B0DTFMRVMB,Live,B0DTHL6PDW,Live,B0DTGHTR37
The Algorithm of Submission,"In a World Where Freedom Is an Illusion, Submission Becomes the Only Path to Survival.",English,A novella,Available,Live,B0DK3XCMBS,Live,B0DKC4YGXW,Live,B0DKC1TTQY
"Civilization, Chaos & You",This Book Will Not Fix Civilization,English,Chaos & You,Partially available,Live,B0H4S1P2PT,Live,B0H48WRRMR,Draft,
"Entropy, Chaos & You",This Book Will Not Stop the Collapse,English,Chaos & You,Available,Live,B0H4S55T5D,Live,B0H4TSWVBX,Live,B0H4V2RTQV
"Faith, Chaos & You",This Book Will Not Save Your Faith,English,Chaos & You,Available,Live,B0H4SDBCSR,Live,B0H418FGNF,Live,B0H41JBKNC
"Power, Chaos & You",This Book Will Not Save You,English,Chaos & You,Available,Live,B0FSVPQFCF,Live,B0FSXP2279,Live,B0FSZCF68T
"Identity, Chaos & You",This Book Will Not Tell You Who You Are,English,Chaos & You,Partially available,Draft,,Live,B0GGR3KF4Q,Live,B0GGQRD7X8
"Information, Chaos & You",This Book Will Not Tell You Which Information Is Correct,English,Chaos & You,Available,Live,B0GYFGRM1D,Live,B0H42CMFYD,Live,B0H43XW2YJ
"Love, Chaos & You",This Book Will Not Save Your Relationship,English,Chaos & You,Available,Live,B0G1LTQTWJ,Live,B0G1M4YWQJ,Live,B0G1TTVPNH
"Philosophy, Chaos & You",This Book Will Not Answer Your Questions,English,Chaos & You,Partially available,Live,B0H4RS21XB,Live,B0H4RMP1YR,Not created,
"Time, Chaos & You",This Book Will Not Save Your Schedule,English,Chaos & You,Available,Live,B0GZ91VCW9,Live,B0GHJ4BHPJ,Live,B0GHJCF1T8
"Reality, Chaos & You",This Book Will Not Make Your Reality—or Help You Escape It,English,Chaos & You,Available,Live,B0GRSHY4P4,Live,B0GRV97Z3J,Live,B0GYLNH8LR
BUY THIS BOOK.,An Autopsy of Consciousness,English,Standalone nonfiction,Available,Live,B0GGXS54MG,Live,B0GHJ33VLL,Live,B0GHJKN8R9
The Lie That Someone Knows,"On Conspiracy, Certainty, and Exhaustion",English,Standalone nonfiction,Available,Live,B0GQ6JNLGR,Live,B0GQCBMSZS,Live,B0GQCDYK4L
The Stokknes Chaos Theory Compendium,A Mythic-Academic Framework for Understanding Human Collapse,English,Framework & compendium,Available,Live,B0G6YBG2ST,Live,B0G6Z2MX7W,Live,B0G6ZD56KN
El Algoritmo de la Sumisión,Un thriller escalofriante sobre un sistema que consume la voluntad humana.,Spanish,Ficción · Castellano,Available,Live,B0DM85186Q,Live,B0DM9M4T5L,Live,B0DM9GX67Y
La Planta Silenciosa,Las métricas del control.,Spanish,Ficción · Castellano,Available,Live,B0H5FP9CD2,Live,B0H5FZ2VHW,Live,B0H5FQ7NMC
"Amor, Caos y Tú",Este libro no salvará tu relación.,Spanish,No ficción · Castellano,Available,Live,B0G1V63YD3,Live,B0G1Y6B1G9,Live,B0G1Y2819T
"Poder, Caos y Tú",Este libro no va a salvarte.,Spanish,No ficción · Castellano,Available,Live,B0G1V6R19N,Live,B0G1ZDZW8D,Live,B0G1ZDGWPS
La Mentira de Que Alguien Lo Sabe,"Sobre conspiración, certeza y agotamiento",Spanish,No ficción · Castellano,Partially available,Not created,,Live,B0GYNGQCS4,Not created,
Cómpralo,Una Autopsia de la Conciencia,Spanish,No ficción · Castellano,Partially available,Not created,,Live,B0GHJSC5G4,Not created,
